Country,Date,search_interest,raw_incidence_rate,search_rank
Nicaragua,9/8,12,28.54,24
Saint Barthelemy,9/8,15,7288.89,23
Aruba,9/8,17,18.42,22
Cuba,9/8,19,0.03,21
Dominica,9/8,19,1421.62,20
Curacao,9/8,22,139.6,19
Guadeloupe,9/8,22,6253.5,18
Bermuda,9/8,23,0,17
Jamaica,9/8,29,179.41,16
Saint Lucia,9/8,29,504.88,15
Barbados,9/8,33,194.16,14
Puerto Rico,9/8,33,449.25,13
Belize,9/8,35,1.36,12
Turks and Caicos,9/8,38,3.92,11
Grenada,9/8,40,343.24,10
Saint Martin,9/8,41,6347.22,9
Saint Vincent,9/8,44,190.2,8
Trinidad and Tobago,9/8,45,24.47,7
Saint Kitts and Nevis,9/8,52,0,6
U.S. Virgin Islands,9/8,60,738.83,5
The Bahamas,9/8,62,2.04,4
Cayman Islands,9/8,63,8.77,3
Antigua and Barbuda,9/8,75,24.47,2
British Virgin Islands,9/8,100,14.71,1
Argentina,9/15,1,4.11,50
Chile,9/15,1,0,49
Colombia,9/15,1,211.57,48
Paraguay,9/15,1,7.99,47
Peru,9/15,1,0.31,46
Uruguay,9/15,1,0,45
Bolivia,9/15,2,1.16,44
Brazil,9/15,2,131.41,43
Ecuador,9/15,2,17.77,42
El Salvador,9/15,2,181.97,41
Panama,9/15,2,46.87,40
Suriname,9/15,3,628.47,39
Venezuela,9/15,3,187.78,38
Haiti,9/15,5,27.29,37
Canada,9/15,6,0,36
Guyana,9/15,6,0.78,35
Dominican Republic,9/15,7,51.21,34
United States,9/15,8,0.01,33
Costa Rica,9/15,9,54.91,32
Mexico,9/15,9,2.16,31
French Guiana,9/15,10,3664.13,30
Guatemala,9/15,10,17.86,29
Honduras,9/15,10,380.13,28
Martinique,9/15,10,9042.17,27
Nicaragua,9/15,11,30,26
Montserrat,9/15,12,0,25
Saint Barthelemy,9/15,16,7677.78,24
Dominica,9/15,17,1558.11,23
Aruba,9/15,18,22.81,22
Curacao,9/15,18,216.11,21
Guadeloupe,9/15,20,6335.24,20
Bermuda,9/15,21,0,19
Cuba,9/15,22,0.03,18
Jamaica,9/15,25,179.41,17
Puerto Rico,9/15,31,485.49,16
Saint Martin,9/15,31,6569.44,15
Turks and Caicos,9/15,31,3.92,14
Grenada,9/15,32,352.25,13
Belize,9/15,33,1.36,12
Barbados,9/15,35,196.91,11
Anguilla,9/15,37,158.82,10
Saint Lucia,9/15,39,504.88,9
Trinidad and Tobago,9/15,39,27.47,8
Saint Vincent,9/15,41,190.2,7
The Bahamas,9/15,46,2.54,6
Cayman Islands,9/15,48,15.79,5
U.S. Virgin Islands,9/15,57,854.37,4
Antigua and Barbuda,9/15,73,24.47,3
Saint Kitts and Nevis,9/15,96,0,2
British Virgin Islands,9/15,100,14.71,1
Uruguay,9/22,0,0,50
Argentina,9/22,1,4.17,49
Bolivia,9/22,1,1.16,48
Chile,9/22,1,0,47
Colombia,9/22,1,212.83,46
Ecuador,9/22,1,18.06,45
Paraguay,9/22,1,7.99,44
Peru,9/22,1,0.33,43
Brazil,9/22,2,131.41,42
El Salvador,9/22,2,182.7,41
Panama,9/22,2,46.87,40
Venezuela,9/22,2,188.29,39
Canada,9/22,3,0,38
Suriname,9/22,3,629.2,37
Dominican Republic,9/22,4,51.21,36
Costa Rica,9/22,5,60.94,35
French Guiana,9/22,5,3693.12,34
Guyana,9/22,5,0.78,33
United States,9/22,5,0.01,32
Haiti,9/22,6,27.29,31
Guatemala,9/22,7,17.86,30
Honduras,9/22,7,387.75,29
Martinique,9/22,7,9119.19,28
Mexico,9/22,7,2.34,27
Bermuda,9/22,8,0,26
Montserrat,9/22,8,0,25
Nicaragua,9/22,9,30.89,24
Aruba,9/22,12,22.81,23
Saint Barthelemy,9/22,12,8177.78,22
Cuba,9/22,13,0.03,21
Dominica,9/22,13,1558.11,20
Curacao,9/22,14,216.11,19
Guadeloupe,9/22,15,6418.05,18
Anguilla,9/22,16,176.47,17
Jamaica,9/22,16,179.41,16
Puerto Rico,9/22,20,542.43,15
Saint Lucia,9/22,20,504.88,14
Belize,9/22,22,1.36,13
Grenada,9/22,22,354.05,12
Trinidad and Tobago,9/22,22,30.18,11
Barbados,9/22,24,196.91,10
Saint Martin,9/22,25,6847.22,9
Saint Vincent,9/22,26,190.2,8
The Bahamas,9/22,26,2.8,7
Turks and Caicos,9/22,34,3.92,6
Cayman Islands,9/22,35,15.79,5
U.S. Virgin Islands,9/22,44,1029.13,4
Antigua and Barbuda,9/22,62,24.47,3
British Virgin Islands,9/22,63,14.71,2
Saint Kitts and Nevis,9/22,100,5.77,1
Argentina,9/29,0,4.17,50
Uruguay,9/29,0,0,49
Brazil,9/29,1,142.59,48
Chile,9/29,1,0,47
Colombia,9/29,1,213.66,46
Ecuador,9/29,1,21.66,45
Paraguay,9/29,1,7.99,44
Peru,9/29,1,0.34,43
Venezuela,9/29,1,188.29,42
Bolivia,9/29,2,1.16,41
El Salvador,9/29,2,183.11,40
Panama,9/29,2,49.65,39
Suriname,9/29,2,629.2,38
Canada,9/29,3,0,37
Dominican Republic,9/29,3,51.48,36
Guyana,9/29,3,0.78,35
United States,9/29,3,0.01,34
Costa Rica,9/29,4,68.97,33
Haiti,9/29,4,27.29,32
Guatemala,9/29,5,17.86,31
Honduras,9/29,5,388.27,30
Martinique,9/29,5,9159.6,29
Nicaragua,9/29,5,31.61,28
Bermuda,9/29,6,0,27
French Guiana,9/29,6,3703.99,26
Mexico,9/29,6,2.54,25
Aruba,9/29,7,22.81,24
Cuba,9/29,7,0.03,23
Dominica,9/29,7,1558.11,22
Saint Barthelemy,9/29,8,8733.33,21
Curacao,9/29,9,216.11,20
Montserrat,9/29,9,0,19
Saint Lucia,9/29,10,504.88,18
Guadeloupe,9/29,11,6477.49,17
Anguilla,9/29,12,200,16
Jamaica,9/29,12,208.28,15
Saint Vincent,9/29,13,190.2,14
Grenada,9/29,14,356.76,13
Puerto Rico,9/29,14,607.39,12
Saint Martin,9/29,14,7083.33,11
Turks and Caicos,9/29,14,3.92,10
Trinidad and Tobago,9/29,16,30.18,9
Barbados,9/29,17,210.31,8
The Bahamas,9/29,20,3.82,7
Cayman Islands,9/29,31,15.79,6
U.S. Virgin Islands,9/29,35,1129.13,5
Belize,9/29,36,1.36,4
Antigua and Barbuda,9/29,56,24.47,3
British Virgin Islands,9/29,57,14.71,2
Saint Kitts and Nevis,9/29,100,5.77,1
Uruguay,10/6,0,0,50
Colombia,10/6,1,214.24,49
Ecuador,10/6,1,21.29,48
Peru,10/6,1,0.35,47
Chile,10/6,1,0,46
Argentina,10/6,1,4.21,45
Paraguay,10/6,1,8.25,44
Venezuela,10/6,2,188.29,43
Brazil,10/6,2,142.59,42
Bolivia,10/6,2,6.66,41
Panama,10/6,2,51.78,40
El Salvador,10/6,2,183.31,39
Suriname,10/6,2,630.11,38
United States,10/6,3,0.02,37
Canada,10/6,3,0,36
Dominican Republic,10/6,3,48.64,35
French Guiana,10/6,4,3703.99,34
Haiti,10/6,4,27.29,33
Nicaragua,10/6,5,32.03,32
Honduras,10/6,5,388.27,31
Guatemala,10/6,5,17.86,30
Costa Rica,10/6,5,72.06,29
Martinique,10/6,5,9159.6,28
Bermuda,10/6,6,0,27
Guyana,10/6,6,0.78,26
Mexico,10/6,8,2.94,25
Aruba,10/6,9,22.81,24
Saint Barthelemy,10/6,9,8733.33,23
Cuba,10/6,9,0.03,22
Jamaica,10/6,10,208.28,21
Guadeloupe,10/6,12,6477.49,20
Dominica,10/6,14,1643.24,19
Saint Vincent and the Grenadines,10/6,14,190.2,18
Saint Lucia,10/6,15,504.88,17
Curacao,10/6,15,216.11,16
Trinidad and Tobago,10/6,16,35.75,15
Turks and Caicos Islands,10/6,16,3.92,14
Puerto Rico,10/6,17,655.45,13
Grenada,10/6,17,356.76,12
The Bahamas,10/6,17,3.82,11
Anguilla,10/6,21,205.88,10
Saint Martin,10/6,24,7083.33,9
Cayman Islands,10/6,27,29.82,8
Belize,10/6,28,1.36,7
Barbados,10/6,31,210.31,6
U.S. Virgin Islands,10/6,35,1228.16,5
British Virgin Islands,10/6,52,14.71,4
Antigua and Barbuda,10/6,65,24.47,3
Montserrat,10/6,77,0,2
Saint Kitts and Nevis,10/6,100,382.69,1
Colombia,10/13,1,214.71,50
Ecuador,10/13,1,21.42,49
Peru,10/13,1,0.35,48
Chile,10/13,1,0,47
Argentina,10/13,1,4.21,46
Paraguay,10/13,1,8.28,45
Uruguay,10/13,1,0,44
Venezuela,10/13,2,190.92,43
Brazil,10/13,2,142.59,42
Bolivia,10/13,2,6.66,41
El Salvador,10/13,2,183.62,40
Suriname,10/13,2,633.03,39
United States,10/13,3,0.04,38
Canada,10/13,3,0,37
Panama,10/13,3,51.78,36
Dominican Republic,10/13,4,48.64,35
Nicaragua,10/13,5,32.34,34
Costa Rica,10/13,5,72.06,33
Bermuda,10/13,5,0,32
Guatemala,10/13,6,17.86,31
French Guiana,10/13,6,3722.1,30
Guyana,10/13,6,0.78,29
Haiti,10/13,6,27.29,28
Honduras,10/13,7,388.27,27
Mexico,10/13,8,3.35,26
Martinique,10/13,8,9206.31,25
Anguilla,10/13,9,205.88,24
Saint Barthelemy,10/13,9,9233.33,23
Dominica,10/13,10,1643.24,22
Guadeloupe,10/13,11,6575.16,21
Cuba,10/13,11,0.03,20
Jamaica,10/13,12,227.51,19
Turks and Caicos Islands,10/13,13,3.92,18
Trinidad and Tobago,10/13,14,35.75,17
Saint Vincent and the Grenadines,10/13,15,190.2,16
Puerto Rico,10/13,17,725.37,15
Aruba,10/13,17,22.81,14
The Bahamas,10/13,17,3.82,13
Saint Lucia,10/13,19,531.71,12
Curacao,10/13,23,216.11,11
Grenada,10/13,24,371.17,10
Saint Martin,10/13,24,7763.89,9
Belize,10/13,28,159.67,8
Barbados,10/13,33,212.03,7
British Virgin Islands,10/13,38,14.71,6
Cayman Islands,10/13,42,29.82,5
U.S. Virgin Islands,10/13,43,1228.16,4
Montserrat,10/13,58,0,3
Antigua and Barbuda,10/13,64,398.94,2
Saint Kitts and Nevis,10/13,100,603.85,1
